@relation nominal_credits

@attribute Checking Status {low, none, negative, moderate}
@attribute Credit History {paid, critical, delayed}
@attribute Credit Item Category {radio/tv, eduction, household-equipment, car, education, business, repairs, now car', other, retraining}
@attribute Credit Item Condition {unknown, new, used}
@attribute Credit Amount {high, moderate, low, very high}
@attribute Savings {low, none-found, moderate-high, high, moderate}
@attribute Employment Term {medium, medium-long, long, nan, short}
@attribute Employed {yes, no}
@attribute Gender {female, male}
@attribute Marital Status {div/dep/mar, single, div/sep, mar/wid}
@attribute Applicant Age {young adult, adult, senior}
@attribute Employment Skill Class {skilled, unskilled, highly skilled, good}
@attribute Self Employed/Management {no, yes}
@attribute Residential Status {unknown, resident, non-resident}
@attribute Credit Status {negative, positive}

@data
low,paid,radio/tv,unknown,high,low,medium,yes,female,div/dep/mar,young adult,skilled,no,unknown,negative
none,critical,eduction,unknown,moderate,low,medium-long,yes,male,single,adult,unskilled,no,resident,positive
negative,paid,household-equipment,unknown,high,low,medium-long,yes,male,single,adult,skilled,no,unknown,positive
negative,delayed,car,new,moderate,low,medium,yes,male,single,senior,skilled,no,unknown,negative
none,paid,education,unknown,high,none-found,medium,yes,male,single,adult,unskilled,no,resident,positive
none,paid,household-equipment,unknown,moderate,moderate-high,long,yes,male,single,senior,skilled,no,unknown,positive
low,paid,car,used,high,low,medium,yes,male,single,adult,highly skilled,yes,unknown,positive
none,paid,radio/tv,unknown,moderate,high,medium-long,yes,male,div/sep,senior,unskilled,no,resident,positive
low,critical,car,new,high,low,nan,no,male,mar/wid,young adult,highly skilled,yes,unknown,negative
low,paid,car,new,low,low,short,yes,female,div/dep/mar,young adult,skilled,no,unknown,negative
negative,paid,business,unknown,moderate,low,short,yes,female,div/dep/mar,young adult,skilled,no,unknown,negative
low,paid,radio/tv,unknown,moderate,low,medium,yes,female,div/dep/mar,young adult,skilled,no,unknown,positive
negative,critical,car,new,low,low,long,yes,male,single,senior,unskilled,no,resident,negative
negative,paid,car,new,low,low,medium,yes,female,div/dep/mar,young adult,skilled,no,unknown,positive
negative,paid,radio/tv,unknown,low,moderate,medium,yes,female,div/dep/mar,adult,unskilled,no,resident,negative
none,critical,radio/tv,unknown,moderate,none-found,long,yes,male,single,senior,skilled,no,unknown,positive
negative,paid,business,unknown,high,none-found,short,yes,male,single,young adult,skilled,no,unknown,positive
low,paid,car,used,very high,low,long,yes,female,div/dep/mar,adult,highly skilled,yes,unknown,negative
none,paid,radio/tv,unknown,moderate,moderate-high,long,yes,male,single,adult,skilled,no,unknown,positive
none,critical,car,new,moderate,low,medium,yes,male,single,adult,skilled,no,unknown,positive
negative,paid,radio/tv,unknown,moderate,moderate-high,medium,yes,male,single,adult,skilled,no,unknown,positive
negative,critical,car,new,moderate,low,short,yes,male,single,adult,unskilled,no,resident,positive
low,critical,car,used,moderate,moderate,short,yes,male,single,adult,skilled,no,unknown,positive
