case_no,checking_account,credit_history,purpose,credit_amount,savings,employment_duration,gender_status,age,job,risk
2,,existing paid,radio/tv,5951,<100,1<=X<4,female div/dep/mar,22,skilled,bad
3,,critical/other existing credit,education,2096,<100,4<=X<7,male single,49,unskilled resident,good
4,,existing paid,furniture/equipment,7882,<100,4<=X<7,male single,0.45,skilled,good
5,,delayed previously,new car,4870,<100,1<=X<4,male single,53,skilled,bad
6,,existing paid,education,9055,no known savings,1<=X<4,male single,35,unskilled resident,good
7,,existing paid,furniture/equipment,2835,500<=X<1000,>=7,male single,53,skilled,good
8,,existing paid,used car,6948,<100,1<=X<4,male single,35,high qualify/self emp/mgm,good
9,,existing paid,radio/tv,3059,>=1000,4<=X<7,male div/sep,61,unskilled resident,good
10,,critical/other existing credit,new car,5234,<100,unemployed,male mar/wid,28,high qualify/self emp/mgm,bad
11,,existing paid,new car,1295,<100,<1,female div/dep/mar,25,skilled,bad
12,,existing paid,business,4308,<100,<1,female div/dep/mar,24,skilled,bad
13,,existing paid,radio/tv,1567,<100,1<=X<4,female div/dep/mar,22,skilled,good
14,,critical/other existing credit,new car,1199,<100,>=7,male single,60,unskilled resident,bad
15,,existing paid,new car,1403,<100,1<=X<4,female div/dep/mar,28,skilled,good
16,,existing paid,radio/tv,1282,100<=X<500,1<=X<4,female div/dep/mar,32,unskilled resident,bad
17,,critical/other existing credit,radio/tv,2424,no known savings,>=7,male single,53,skilled,good
18,,no credits/all paid,business,8072,no known savings,<1,male single,25,skilled,good
19,,existing paid,used car,12579,<100,>=7,female div/dep/mar,44,high qualify/self emp/mgm,bad
20,,existing paid,radio/tv,3430,500<=X<1000,>=7,male single,31,skilled,1
21,,critical/other existing credit,new car,2134,<100,1<=X<4,male single,48,skilled,good
22,,existing paid,radio/tv,2647,500<=X<1000,1<=X<4,male single,44,skilled,good
23,,critical/other existing credit,new car,2241,<100,<1,male single,48,unskilled resident,good
24,,critical/other existing credit,used car,1804,100<=X<500,<1,male single,44,skilled,good
25,,critical/other existing credit,furniture/equipment,2069,no known savings,1<=X<4,male mar/wid,0.26,skilled,good
26,,existing paid,furniture/equipment,1374,<100,1<=X<4,male single,36,unskilled resident,good
27,,no credits/all paid,radio/tv,426,<100,>=7,male mar/wid,39,unskilled resident,good
28,High,all paid,radio/tv,409,>=1000,1<=X<4,female div/dep/mar,42,skilled,good
29,,existing paid,radio/tv,2415,<100,1<=X<4,male single,34,skilled,good
30,,delayed previously,business,6836,<100,>=7,male single,63,skilled,bad
31,,existing paid,business,1913,>=1000,<1,male mar/wid,36,skilled,good
32,,existing paid,furniture/equipment,4020,<100,1<=X<4,male single,27,skilled,good
33,,existing paid,new car,5866,100<=X<500,1<=X<4,male single,30,skilled,good
34,,critical/other existing credit,business,1264,no known savings,>=7,male single,57,unskilled resident,good
35,High,existing paid,furniture/equipment,1474,<100,<1,female div/dep/mar,33,high qualify/self emp/mgm,good
36,,critical/other existing credit,radio/tv,4746,<100,<1,male single,25,unskilled resident,bad
37,,critical/other existing credit,education,6110,<100,1<=X<4,male single,31,skilled,good
38,High,existing paid,radio/tv,2100,<100,1<=X<4,male single,37,skilled,bad
39,High,existing paid,domestic appliance,1225,<100,1<=X<4,male single,37,skilled,good
40,,existing paid,Radio/Tv,458,<100,1<=X<4,male single,24,skilled,good
41,,existing paid,radio/tv,2333,500<=X<1000,>=7,male single,30,high qualify/self emp/mgm,good
42,,existing paid,radio/tv,1158,500<=X<1000,1<=X<4,male div/sep,26,skilled,good
43,,delayed previously,repairs,6204,<100,1<=X<4,male single,44,unskilled resident,good
44,,critical/other existing credit,used car,6187,100<=X<500,4<=X<7,male mar/wid,1,skilled,good
45,,critical/other existing credit,used car,6143,<100,>=7,female div/dep/mar,58,unskilled resident,bad
46,,critical/other existing credit,new car,1393,<100,<1,female div/dep/mar,35,high qualify/self emp/mgm,good
47,,existing paid,Radio/Tv,2299,500<=X<1000,>=7,male single,39,skilled,good
48,,existing paid,used car,1352,500<=X<1000,unemployed,female div/dep/mar,2.3,enemy/unskilled non res,good
49,,critical/other existing credit,now car,7228,<100,1<=X<4,male single,39,unskilled resident,good
50,,existing paid,radio/tv,2073,100<=X<500,1<=X<4,female div/dep/mar,28,skilled,good
51,,delayed previously,furniture/equipment,2333,no known savings,<1,male single,29,unskilled resident,good
52,,delayed previously,used car,5965,<100,>=7,male single,30,high qualify/self emp/mgm,good
53,,existing paid,radio/tv,1262,<100,1<=X<4,male single,25,skilled,good
54,,existing paid,used car,3378,no known savings,1<=X<4,male single,31,skilled,good
55,,delayed previously,new car,2225,<100,>=7,male single,57,skilled,bad
56,,all paid,now car,783,no known savings,1<=X<4,male single,0.26,unskilled resident,good
57,,existing paid,radio/tv,6468,no known savings,unemployed,male single,52,high qualify/self emp/mgm,bad
58,,critical/other existing credit,radio/tv,9566,<100,1<=X<4,female div/dep/mar,31,skilled,good
59,High,existing paid,new car,1961,<100,>=7,female div/dep/mar,2.3,high qualify/self emp/mgm,good
60,,critical/other existing credit,furniture/equipment,6229,<100,<1,female div/dep/mar,23,unskilled resident,bad
61,,existing paid,business,1391,<100,1<=X<4,male mar/wid,27,skilled,good
62,,critical/other existing credit,radio/tv,1537,no known savings,>=7,male single,50,skilled,good
63,,no credits/all paid,business,1953,<100,>=7,male single,61,high qualify/self emp/mgm,bad
64,,no credits/all paid,business,14421,<100,1<=X<4,male single,25,skilled,bad
65,,existing paid,radio/tv,3181,<100,<1,female div/dep/mar,26,skilled,1
66,,existing paid,repairs,5190,no known savings,>=7,male single,48,skilled,good
67,,existing paid,radio/tv,2171,<100,<1,female div/dep/mar,29,skilled,good
68,,existing paid,new car,1007,>=1000,1<=X<4,male mar/wid,222,skilled,good
69,,existing paid,education,1819,<100,1<=X<4,male single,37,skilled,bad
70,,existing paid,radio/tv,2394,no known savings,1<=X<4,female div/dep/mar,25,skilled,good
71,,existing paid,used car,8133,<100,1<=X<4,female div/dep/mar,30,skilled,good
72,,critical/other existing credit,radio/tv,730,no known savings,>=7,male single,46,unskilled resident,good
